category,n,accuracy,f1,precision,recall
Electronics,732,0.7540983606557377,0.6823912762801668,0.6983121748582964,0.6755517193512234
Beauty_and_Personal_Care,872,0.7649082568807339,0.6837373952711264,0.7023889149605721,0.6735266133224909
Video_Games,681,0.7679882525697503,0.6937936507936509,0.7089080253271692,0.6884248856960434
Amazon_Fashion,632,0.8528481012658228,0.7954096241556711,0.8004904734955668,0.7909193334423668
Books,748,0.6911764705882353,0.5976538313381927,0.6423686820028284,0.5818691593167342
